scheduler, patronID, drinkName, execTime,arrivalTime, serviceStartTime, completionTime,waitingTime, responseTime, turnaroundTime, queueLevel
SJF,12,B52,200,1778882515517,1778882515883,1778882516084,366,366,567,0
SJF,11,White Wine,25,1778882515919,1778882516085,1778882516111,166,166,192,0
SJF,14,Draft Beer,50,1778882515894,1778882516112,1778882516163,218,218,269,0
SJF,15,Draft Beer,50,1778882516070,1778882516164,1778882516214,94,94,144,0
SJF,10,Cosmopolitan,65,1778882515892,1778882516216,1778882516281,324,324,389,0
SJF,14,White Wine,25,1778882516263,1778882516282,1778882516308,19,19,45,0
SJF,12,Pina Colada,100,1778882516094,1778882516309,1778882516409,215,215,315,0
SJF,16,Vodka shot,20,1778882516404,1778882516411,1778882516431,7,7,27,0
SJF,15,Martini,60,1778882516315,1778882516433,1778882516494,118,118,179,0
SJF,16,White Wine,25,1778882516435,1778882516495,1778882516520,60,60,85,0
SJF,14,Bloody Mary,70,1778882516458,1778882516522,1778882516592,64,64,134,0
SJF,11,Pina Colada,100,1778882516261,1778882516593,1778882516694,332,332,433,0
SJF,15,Red Wine,25,1778882516604,1778882516695,1778882516720,91,91,116,0
SJF,16,Gin and Tonic,40,1778882516671,1778882516722,1778882516762,51,51,91,0
SJF,14,Cider,25,1778882516742,1778882516764,1778882516789,22,22,47,0
SJF,12,Pina Colada,100,1778882516530,1778882516790,1778882516891,260,260,361,0
SJF,16,Vodka shot,20,1778882516872,1778882516893,1778882516913,21,21,41,0
SJF,15,Beer,25,1778882516871,1778882516915,1778882516940,44,44,69,0
SJF,17,Draft Beer,50,1778882516807,1778882516942,1778882516992,135,135,185,0
SJF,11,B52,200,1778882516814,1778882516993,1778882517193,179,179,379,0
SJF,15,Tequila shot,20,1778882517040,1778882517195,1778882517215,155,155,175,0
SJF,19,Red Wine,25,1778882517018,1778882517217,1778882517242,199,199,224,0
SJF,12,Martini,60,1778882517011,1778882517244,1778882517304,233,233,293,0
SJF,17,Cosmopolitan,65,1778882517092,1778882517305,1778882517371,213,213,279,0
SJF,11,Bloody Mary,70,1778882517204,1778882517372,1778882517442,168,168,238,0
SJF,17,Red Wine,25,1778882517421,1778882517444,1778882517469,23,23,48,0
SJF,19,Margarita,75,1778882517392,1778882517471,1778882517546,79,79,154,0
SJF,12,Pina Colada,100,1778882517414,1778882517548,1778882517648,134,134,234,0
SJF,17,Pina Colada,100,1778882517619,1778882517649,1778882517750,30,30,131,0
SJF,14,B52,200,1778882516889,1778882517751,1778882517951,862,862,1062,0
SJF,12,Martini,60,1778882517768,1778882517953,1778882518013,185,185,245,0
SJF,14,Bloody Mary,70,1778882517962,1778882518015,1778882518085,53,53,123,0
SJF,17,Margarita,75,1778882517870,1778882518087,1778882518162,217,217,292,0
SJF,12,White Wine,25,1778882518123,1778882518163,1778882518188,40,40,65,0
SJF,18,B52,200,1778882516920,1778882518190,1778882518390,1270,1270,1470,0
SJF,12,Tequila shot,20,1778882518339,1778882518392,1778882518412,53,53,73,0
SJF,17,Cider,25,1778882518242,1778882518414,1778882518439,172,172,197,0
SJF,18,Red Wine,25,1778882518400,1778882518440,1778882518465,40,40,65,0
SJF,17,Martini,60,1778882518539,1778882518539,1778882518599,0,0,60,0
